url,doc_id,title,customer_role,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/77251?seo=1,shopee-return-refund-policy,Chính sách trả hàng và hoàn tiền,both,returns-policy,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/188931,shopee-general-return-refund-rules,Những quy định chung về trả hàng và hoàn tiền,buyer,returns-policy,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/79233?seo=1,shopee-submit-return-refund-request,Hướng dẫn gửi yêu cầu trả hàng và hoàn tiền,buyer,after-sales-process,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/190242,shopee-review-return-refund-request,Quy trình Shopee xử lý yêu cầu trả hàng và hoàn tiền,buyer,return-dispute,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/79298,shopee-track-return-refund-status,Theo dõi tình trạng trả hàng và hoàn tiền trên Shopee,buyer,after-sales-process,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/189477,shopee-return-shipping-methods-fees,Các phương thức gửi hàng hoàn trả và phí hoàn trả,buyer,return-logistics,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/189473,shopee-refund-time-status,Thời gian nhận tiền hoàn và cách kiểm tra tiền hoàn,buyer,refund-policy,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/189476,shopee-track-return-shipment,Cách theo dõi tình trạng vận chuyển hàng hoàn trả,buyer,return-logistics,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/77262,shopee-mall-return-refund-terms,Điều khoản dịch vụ Shopee Mall về trả hàng và hoàn tiền,both,returns-policy,vi,not-stated,public-page
https://help.shopee.vn/portal/1/article/102521,shopee-seller-manage-return-refund,Quản lý đơn trả hàng hoàn tiền,seller,after-sales-process,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/77243,shopee-terms-of-service,Điều khoản dịch vụ Shopee,both,terms-of-service,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/79198,shopee-supported-payment-methods,Các phương thức thanh toán được Shopee hỗ trợ,buyer,payment-policy,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/79196,shopee-payment-method-unavailable,Lý do không chọn được phương thức thanh toán mong muốn,buyer,payment-troubleshooting,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/84824,shopee-order-payment-errors,Lý do không thể thanh toán đơn hàng trên Shopee,buyer,payment-troubleshooting,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/79545,shopee-credit-debit-card-payment,Cách thanh toán bằng thẻ tín dụng hoặc thẻ ghi nợ,buyer,payment-method,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/79560,shopee-card-payment-errors,Lỗi thanh toán bằng thẻ tín dụng hoặc thẻ ghi nợ,buyer,payment-troubleshooting,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/79538,shopee-credit-card-installment,Thanh toán đơn hàng bằng phương thức trả góp thẻ tín dụng,buyer,installment-payment,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/79456,shopee-installment-faq,Các câu hỏi thường gặp về trả góp,buyer,installment-payment,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/79596,shopee-multiple-order-payment,Hướng dẫn thanh toán nhiều đơn hàng,buyer,payment-process,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/79437,shopeepay-partner-online-payment,Cách thanh toán trực tuyến tại đối tác bằng ShopeePay,buyer,shopeepay-payment,vi,not-stated,public-page
